Prob	Label
0.050859	0.0
0.034415	0.0
0.390354	1.0
0.000984	0.0
0.004638	0.0
0.880033	0.0
0.127145	0.0
0.116717	1.0
0.009256	0.0
0.505175	0.0
0.989432	1.0
0.573121	0.0
0.024078	1.0
0.003405	0.0
0.680092	1.0
0.459751	0.0
0.903040	0.0
0.128109	1.0
0.122972	0.0
0.130431	0.0
0.030121	1.0
0.999494	1.0
0.630186	0.0
0.128009	1.0
0.137376	0.0
0.015412	0.0
0.813017	0.0
0.991607	1.0
0.711911	1.0
0.006408	0.0
0.065175	1.0
0.782748	1.0
0.182317	1.0
0.404592	0.0
0.909182	0.0
0.002225	0.0
0.998254	1.0
0.616571	1.0
0.998809	1.0
0.998948	1.0
0.790936	1.0
0.996152	1.0
0.215729	0.0
0.999796	1.0
0.011507	0.0
0.020043	0.0
0.746964	0.0
0.224099	0.0
0.994626	1.0
0.956188	1.0
0.613312	1.0
0.974807	1.0
0.001657	0.0
0.975096	0.0
0.993233	1.0
0.999358	1.0
0.017208	0.0
0.279475	0.0
0.061957	0.0
0.022522	0.0
0.178108	0.0
0.949324	0.0
0.960962	1.0
0.069995	1.0
0.993815	1.0
0.007778	0.0
0.784560	0.0
0.130965	0.0
0.004900	0.0
0.014056	0.0
0.023901	0.0
0.001839	0.0
0.043703	0.0
0.109498	1.0
0.987275	0.0
0.228458	1.0
0.995176	1.0
0.852575	0.0
0.963787	0.0
0.838258	1.0
0.557915	1.0
0.993593	1.0
0.891098	1.0
0.004552	0.0
0.052052	1.0
0.841990	0.0
0.001626	0.0
0.999337	1.0
0.914969	0.0
0.112278	1.0
0.989335	1.0
0.131509	0.0
0.023249	0.0
0.054696	0.0
0.082376	0.0
0.048525	0.0
0.000182	0.0
0.001232	0.0
0.502801	1.0
0.020773	0.0
0.997360	1.0
0.004934	0.0
0.075324	1.0
0.068717	0.0
0.359324	1.0
0.002726	0.0
0.995156	1.0
0.004577	0.0
0.950809	1.0
0.744329	1.0
0.114589	0.0
0.945201	1.0
0.026628	1.0
0.984759	1.0
0.034343	1.0
0.000913	0.0
0.478853	1.0
0.992545	1.0
0.784919	1.0
0.983078	1.0
0.988797	1.0
0.969801	1.0
0.823516	1.0
0.976396	1.0
0.015311	0.0
0.014496	0.0
0.014903	0.0
0.846318	1.0
0.044401	0.0
0.427488	1.0
0.977657	1.0
0.032492	0.0
0.001753	0.0
0.115760	0.0
0.903550	1.0
0.991328	1.0
0.031263	0.0
0.317358	1.0
0.024160	0.0
0.566357	0.0
0.850244	1.0
0.875755	1.0
0.027720	0.0
0.998436	1.0
0.999879	1.0
0.148667	0.0
0.003921	0.0
0.395234	1.0
0.222986	1.0
0.052543	0.0
0.782257	1.0
0.489108	0.0
0.366617	0.0
0.996452	1.0
0.007379	0.0
0.016060	1.0
0.398776	0.0
0.004005	0.0
0.999585	1.0
0.647942	1.0
0.092217	0.0
0.996701	1.0
0.026438	0.0
0.007415	0.0
0.013847	0.0
0.979984	0.0
0.932392	1.0
0.444667	1.0
0.017032	0.0
0.999550	1.0
0.016174	1.0
0.002061	0.0
0.093792	0.0
0.021030	1.0
0.973554	1.0
0.996308	1.0
0.985070	1.0
0.053420	1.0
0.586104	1.0
0.022734	0.0
0.994847	1.0
0.526580	0.0
0.060463	1.0
0.948313	1.0
0.840103	0.0
0.188172	0.0
0.579078	0.0
0.005254	0.0
0.016110	0.0
0.028225	0.0
0.004727	0.0
0.910135	1.0
0.692572	1.0
0.925881	0.0
0.994244	0.0
0.008125	0.0
0.062434	0.0
0.006667	0.0
0.010815	1.0
0.029488	0.0
0.008833	0.0
0.998152	1.0
0.083448	0.0
0.779843	0.0
0.001574	0.0
0.061509	0.0
0.055838	1.0
0.058165	0.0
0.999071	1.0
0.191953	0.0
0.435485	0.0
0.999648	1.0
0.039467	0.0
0.021013	1.0
0.043409	0.0
0.981840	1.0
0.258226	0.0
0.038924	0.0
