Prediction	Label
1.000000	1.000000
0.000000	0.000000
0.000000	0.000000
0.002210	1.000000
0.000037	0.000000
0.000000	0.000000
0.992003	1.000000
0.000000	0.000000
1.000000	1.000000
0.000000	0.000000
0.000002	0.000000
0.932172	1.000000
0.000000	0.000000
0.999990	1.000000
1.000000	1.000000
0.000063	1.000000
0.992120	1.000000
1.000000	1.000000
0.994638	1.000000
0.995845	1.000000
0.872841	1.000000
0.000018	0.000000
0.000000	0.000000
0.999996	1.000000
1.000000	1.000000
0.999820	1.000000
0.000000	0.000000
0.665903	0.000000
1.000000	1.000000
0.000145	0.000000
0.000000	0.000000
0.000002	0.000000
0.000354	0.000000
0.013083	0.000000
0.000038	0.000000
1.000000	1.000000
0.995614	0.000000
0.000000	0.000000
1.000000	1.000000
0.000000	0.000000
1.000000	1.000000
0.000000	0.000000
1.000000	1.000000
0.999728	1.000000
0.999992	1.000000
0.000000	0.000000
0.999982	1.000000
0.000004	0.000000
0.913745	1.000000
0.987930	0.000000
1.000000	1.000000
0.000010	0.000000
0.000000	0.000000
0.037046	0.000000
0.999999	1.000000
1.000000	1.000000
0.999999	1.000000
0.000000	0.000000
0.000000	0.000000
0.966147	0.000000
1.000000	1.000000
0.000074	1.000000
1.000000	1.000000
0.216584	0.000000
0.000000	1.000000
0.998325	1.000000
0.000000	0.000000
0.999999	1.000000
0.202238	1.000000
0.994766	0.000000
0.999999	0.000000
0.000486	0.000000
0.410733	0.000000
1.000000	1.000000
1.000000	1.000000
0.000424	1.000000
0.000483	0.000000
0.000739	0.000000
0.000001	0.000000
1.000000	0.000000
0.000058	0.000000
0.840865	0.000000
0.999998	1.000000
0.000000	0.000000
0.990900	0.000000
0.000004	0.000000
0.000403	0.000000
0.342803	0.000000
0.000000	0.000000
0.000020	0.000000
0.006184	0.000000
0.000396	1.000000
1.000000	1.000000
0.003234	0.000000
0.999999	1.000000
0.000000	0.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
0.000000	0.000000
0.000000	0.000000
0.980323	1.000000
0.264883	1.000000
0.000000	0.000000
1.000000	1.000000
0.879581	1.000000
0.000000	0.000000
0.000000	0.000000
0.000000	1.000000
0.999274	1.000000
0.999773	1.000000
0.005440	0.000000
1.000000	1.000000
0.000000	0.000000
0.000000	0.000000
0.000074	0.000000
0.999998	1.000000
0.015024	0.000000
0.025971	0.000000
0.000068	0.000000
0.000001	0.000000
0.450004	1.000000
0.000006	0.000000
0.000000	0.000000
1.000000	0.000000
1.000000	0.000000
0.000000	0.000000
0.000000	0.000000
0.000000	0.000000
0.000000	0.000000
1.000000	1.000000
1.000000	1.000000
0.818261	0.000000
0.056879	0.000000
0.000049	0.000000
0.000036	0.000000
0.999999	1.000000
1.000000	1.000000
1.000000	0.000000
0.000000	0.000000
1.000000	1.000000
0.000001	0.000000
0.994778	0.000000
0.000000	0.000000
0.000000	0.000000
1.000000	1.000000
1.000000	1.000000
0.000009	1.000000
0.000014	0.000000
0.005788	0.000000
0.997478	0.000000
1.000000	1.000000
0.000000	0.000000
1.000000	1.000000
0.999991	1.000000
0.167874	0.000000
1.000000	1.000000
0.999999	1.000000
0.000000	0.000000
0.000002	0.000000
0.999991	0.000000
1.000000	1.000000
