Prob	Label
0.781890	1.0
0.000014	0.0
0.492546	1.0
0.549302	0.0
0.000011	0.0
0.961460	1.0
0.364680	1.0
0.994271	1.0
0.966377	1.0
0.000141	0.0
0.843714	1.0
0.892407	1.0
0.074902	1.0
0.000423	0.0
0.957452	1.0
0.021128	0.0
0.997952	0.0
0.001563	0.0
0.001180	0.0
0.941744	1.0
0.004625	0.0
0.997696	1.0
0.704105	1.0
0.000912	0.0
0.197305	0.0
0.002044	0.0
0.141088	1.0
0.009738	0.0
0.100175	0.0
0.102232	1.0
0.988085	0.0
0.737483	0.0
0.988259	1.0
0.575404	1.0
0.000000	0.0
0.998576	1.0
0.206892	0.0
0.997740	1.0
0.027232	0.0
0.999934	1.0
0.920891	1.0
0.024690	0.0
0.609237	0.0
0.990002	1.0
0.113237	0.0
0.999875	1.0
0.930383	0.0
0.872583	1.0
0.033204	0.0
0.999391	1.0
0.001987	0.0
0.000010	0.0
0.051144	0.0
0.413679	0.0
0.018029	0.0
0.005343	0.0
0.009154	0.0
0.037344	0.0
0.999123	1.0
0.026607	0.0
0.981744	1.0
0.004570	0.0
0.001142	0.0
0.000402	0.0
0.146098	1.0
0.999973	1.0
0.000005	0.0
0.002970	0.0
0.169212	0.0
0.032066	0.0
0.909715	1.0
0.002202	0.0
0.335406	1.0
0.461856	1.0
0.962326	1.0
0.000000	0.0
0.122680	0.0
0.961124	1.0
0.998321	1.0
0.020113	0.0
0.274539	1.0
0.109672	0.0
0.676796	1.0
0.058914	0.0
0.961364	1.0
0.980811	1.0
0.860868	1.0
0.905875	0.0
0.999983	1.0
0.963271	1.0
0.379215	1.0
0.417467	0.0
0.999999	1.0
0.033971	1.0
0.015806	0.0
0.027608	0.0
0.523061	0.0
0.938165	1.0
0.999059	1.0
0.999995	1.0
0.072615	0.0
0.628903	0.0
0.001808	0.0
0.990955	1.0
0.009266	0.0
0.960904	0.0
0.000639	0.0
0.001310	0.0
0.002811	0.0
0.999750	1.0
0.001073	0.0
0.994980	1.0
0.979846	0.0
0.000002	0.0
0.073414	0.0
0.969083	1.0
0.434770	1.0
0.093400	1.0
0.353434	1.0
0.020981	0.0
0.999994	1.0
1.000000	1.0
0.000000	0.0
0.116717	0.0
0.919749	1.0
0.077298	0.0
0.999742	1.0
0.951229	1.0
